company,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
VOLKSWAGEN,717,813,798,890,1085,1116,1227,1482,1445,1540
NOKIA,2662,2492,2374,2533,2352,2210,1835,1694,1826,2085
DAIMLER,2062,2095,2388,1956,2256,2065,2150,1937,1805,1638
GLAXOSMITHKLINE,351,358,328,331,360,394,453,511,421,403
SIEMENS,7539,7074,7826,7848,7015,6479,5479,5125,4812,5249
ROBERT BOSCH,347,7451,8056,8007,8235,6721,5740,5965,5904,5859
BAYER,2188,2300,2011,1845,1935,2092,1640,1489,1152,1104
ASTRAZENECA,628,551,369,256,236,233,184,196,124,158
ERICSSON,4090,3936,3821,3702,3875,4035,3679,3809,3874,4115
BMW,791,820,718,912,1192,1668,1850,1941,2395,2345
VOLVO,377,381,345,390,509,530,498,510,430,474
SAP,154,113,125,135,119,87,52,73,67,79
RENAULT,1118,683,595,756,832,896,859,767,749,732
STMICROELECTRONICS,350,405,218,166,155,142,191,214,243,276
CONTINENTAL,1455,1297,1274,1320,1455,1760,1801,1960,1994,2043
BASF,3243,3124,2856,2738,2951,3153,3098,3080,2457,2399
MERCK DE,1361,1381,1299,1241,1250,1316,1306,1277,1119,1096
BANCO SANTANDER,1,0,0,0,0,0,0,1,0,0
NOVO NORDISK,266,246,230,205,228,241,254,227,200,183
VIVENDI,1,4,2,2,1,1,0,0,0,0
BT,282,190,146,158,146,184,202,263,268,244
UNILEVER,699,736,676,749,720,753,779,928,659,715
TELEFONICA,23,93,177,186,152,115,128,89,62,59
ROYAL DUTCH SHELL,789,780,679,626,694,747,738,787,522,392
TOTAL,351,384,368,417,361,423,458,456,414,421
SCHNEIDER,706,901,1079,997,707,644,600,480,401,427
ALSTOM,467,547,647,809,807,827,678,337,245,248
UCB,108,122,101,80,93,142,139,186,158,122
TELECOM ITALIA,184,127,84,55,54,46,60,88,71,58
L'OREAL,943,904,811,892,840,850,992,1112,975,932
THALES,737,670,605,554,549,622,618,620,605,642
SEAGATE TECHNOLOGY,43,64,62,77,138,72,60,32,16,3
ZF,1182,1115,1017,1012,1039,1123,1211,1321,1336,1636
ROLLS-ROYCE,477,478,510,433,499,464,736,523,526,514
BP,239,217,219,201,204,219,197,194,143,157
VALEO,816,800,842,972,1118,1310,1755,2045,2239,1958
MICHELIN,426,545,548,541,629,763,887,961,928,814
SAFRAN,21,53,101,134,173,405,681,1143,1547,1525
ELECTRICITE DE FRANCE,47,64,56,87,100,112,103,103,97,101
INFINEON TECHNOLOGIES,685,470,563,647,895,1062,1034,959,845,756
NXP SEMICONDUCTORS,2,5,10,4,6,2,1,1,0,2
DSM,648,657,622,617,696,717,662,658,565,595
SAINT-GOBAIN,736,802,765,767,867,888,884,999,953,1008
HENKEL,879,821,774,759,861,856,1019,1084,962,884
VESTAS WIND SYSTEMS,283,331,327,308,234,268,283,369,390,384
DANSKE BANK,0,0,0,0,0,0,0,1,0,0
EVONIK INDUSTRIES,1,3,9,122,269,317,94,72,7,8
AMADEUS,49,42,53,58,77,89,67,39,29,35
UBISOFT ENTERTAINMENT,2,2,2,1,1,2,1,0,0,1
HELLA,222,180,185,194,253,247,201,179,294,277
DASSAULT SYSTEMES,11,18,27,30,50,43,36,63,38,44
BAE SYSTEMS,348,412,422,273,429,531,423,481,374,479
DEUTSCHE BANK,0,0,1,1,1,1,0,0,0,2
AKZO NOBEL,263,265,267,241,257,266,270,304,210,184
MAHLE,387,361,380,425,506,630,658,650,533,438
ACCENTURE,131,150,112,89,104,89,126,142,136,156
CARL ZEISS,700,649,687,700,756,751,789,778,817,806
SANDVIK,268,261,230,232,294,318,353,348,287,278
DEUTSCHE TELEKOM,188,235,218,181,173,231,252,285,272,208
RWE,37,55,69,58,45,53,61,59,33,16
INTESA SANPAOLO,0,1,0,0,2,0,1,1,0,0
DIEHL,149,183,221,190,151,152,161,150,176,187
THYSSENKRUPP,396,468,473,548,646,752,785,957,900,993
FRESENIUS,227,257,301,309,298,314,364,422,406,421
ARCELORMITTAL,81,98,77,75,75,97,133,179,186,233
UNICREDIT,1,0,0,1,3,4,2,2,0,1
ENI,121,123,121,134,124,126,100,86,79,74
RABOBANK,0,0,0,0,0,0,0,0,0,0
ELECTROLUX,432,521,435,461,453,509,508,483,344,371
RHEINMETALL,184,181,158,124,127,114,83,102,131,99
BAT,145,168,195,213,226,199,220,229,215,264
DANONE,51,56,34,47,59,52,59,68,48,31
VATTENFALL,1,1,4,3,4,2,2,3,4,1
IPSEN,85,81,66,63,62,68,59,68,54,53
DASSAULT AVIATION,1,6,15,21,26,31,31,28,21,27
SOLVAY,320,319,304,334,326,320,286,313,326,324
SAGE,20,23,38,50,52,58,53,75,68,92
L'AIR LIQUIDE,385,467,472,450,417,519,408,446,460,477
INDRA SISTEMAS,3,4,3,2,3,4,2,3,3,3
VOITH,655,635,580,492,399,428,314,314,290,321
LLOYDS BANKING,0,0,0,0,0,0,0,0,0,0
KNORR-BREMSE,351,322,258,297,252,342,345,427,433,438
LEGRAND,114,96,99,80,85,89,61,65,60,41
B BRAUN MELSUNGEN,59,80,81,94,108,112,140,124,145,112
ATLAS COPCO,148,151,123,128,144,146,177,176,161,148
WACKER CHEMIE,262,254,255,236,214,238,251,230,238,224
COMMERZBANK,0,0,1,0,0,0,0,0,0,0
AGFA-GEVAERT,22,36,26,31,20,41,35,26,33,29
KERRY,91,82,119,78,42,20,20,16,22,19
NOVOZYMES,355,369,325,363,424,470,410,488,376,360
FREUDENBERG,198,216,172,162,139,130,121,94,105,129
AMDOCS,3,3,2,0,1,5,6,5,7,5
PIRELLI,163,150,123,108,139,141,155,203,150,148
RSA INSURANCE,0,0,0,0,0,0,0,0,0,0
WARTSILA,46,55,73,92,148,140,118,135,103,91
DRAGERWERK,102,75,69,118,135,145,152,121,97,108
TECHNICOLOR,2,7,44,35,7,16,18,12,6,0
GRUNDFOS,72,82,71,86,73,62,61,82,80,78
DANFOSS,179,124,126,150,150,133,179,180,196,159
RECKITT BENCKISER,217,231,195,167,176,118,108,129,103,61
MTU AERO ENGINES,230,189,167,127,161,161,138,208,129,187
VEOLIA ENVIRONNEMENT,42,75,70,69,88,80,78,88,68,79
RIO TINTO,12,21,26,22,22,46,51,49,30,19
ARKEMA,414,415,375,324,383,491,549,577,588,590
ANHEUSER-BUSCH INBEV,12,16,14,18,23,21,43,59,94,82
HEXAGON,27,24,33,66,87,85,60,74,60,76
UMICORE,109,117,118,107,109,118,137,135,165,188
SKF,250,282,366,393,428,503,354,168,67,60
