"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019","performance group","Summary Innovation Index","New doctorate graduates","Population with tertiary education","Population involved in lifelong learning","International scientific co-publications","Scientific publications among the top 10% most cited","Foreign doctorate students as a % of all doctorate students","Individuals with above basic overall digital skills","R&D expenditure in the public sector","Venture capital expenditures","Direct and indirect government support of business R&D","R&D expenditure in the business sector","Employed ICT specialists","SMEs introducing product innovations","SMEs introducing business process innovations","Innovative SMEs collaborating with others","Public-private co-publications","Job-to-job mobility of HRST","PCT patent applications","Trademark applications","Design applications","Employment in knowledge-intensive activities","Employment in innovative enterprises","Exports of medium and high technology products","Knowledge-intensive services exports","Sales of new-to-market and new-to-firm innovations","Resource productivity","Air emissions by fine particulates","Environment-related technologies","Broadband penetration","Non-R&D innovation expenditures","Innovation expenditures per person employed","Enterprises providing ICT training","Human resources","Attractive research systems","Digitalisation","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support"
"VOLKSWAGEN",2017,"EU","Germany","Automobiles & Parts",1,13135,-3.9,5.7,230682,6.2,642300,2.5,13052,-0.8,5.7,13458,61.3,5.8,9336,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"VOLKSWAGEN",2018,"EU","Germany","Automobiles & Parts",1,13640,3.84468976018273,5.78336138800673,235849,2.74406447397082,664500,3.4563288183092,13729,5.18694452957402,5.82109739706338,13982,4.01725933640826,5.92836942280866,9336,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"VOLKSWAGEN",2019,"EU","Germany","Automobiles & Parts",1,14306,4.88269794721408,5.66278222869629,252632,7.11599370783849,671205,1.00902934537246,14230,3.64920970209046,5.63269894550176,15861,13.4387069088828,6.27830203616327,9336,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"NOKIA",2017,"EU","Finland","Technology Hardware & Equipment",8,4916,0.2,21.2,23147,-2,103000,2,601,26,2.6,126,-112,0.5,12780,"Leader",128.8,146.3,92.2,274.3,225,117.5,117,196.5,132.8,115.5,47.1,140.6,193.5,194.3,148.3,246.8,417.5,152.9,133.2,109.7,113.4,126.5,122.8,61.5,107.3,69.4,9.5,92.9,129.6,102.3,57.7,113.2,206.4,162,141.5,149.7,104.2,199.8,170.9,240.9,120.7,124.5,79.3,83.6,103.4
"NOKIA",2018,"EU","Finland","Technology Hardware & Equipment",10,4044,-5.5802007938361,17.9231485174844,22563,-2.523005141055,103083,0.080582524271855,672,11.8136439267887,2.97832735008642,7,-94.4444444444444,0.0310242432300669,12780,"Leader",127,134.8,92.2,274.3,233.6,115.2,125,196.5,127.9,117.6,46.2,131.6,193.5,194.3,148.3,246.8,405.1,152.9,133.2,124.1,94.1,126.5,122.8,64.6,107.7,69.4,12.2,93.4,117.7,102.3,57.7,113.2,186.6,157.1,144,149.7,100.9,190.2,170.9,238.4,118.2,124.5,80.7,80.8,101.9
"NOKIA",2019,"EU","Finland","Technology Hardware & Equipment",10,4411,9.07517309594461,18.9191507613125,23315,3.33289012985862,98322,-4.61860830592823,690,2.67857142857142,2.95946815354922,575,8114.28571428571,2.46622346129101,12780,"Leader",127.4,123.2,92.2,274.3,242.1,120.4,131.2,196.5,131.1,129.6,42.4,130.8,193.5,194.3,148.3,246.8,418.4,150,133.2,127.8,86.3,126.5,122.8,63.2,105.5,69.4,9.4,92.8,112.4,102.3,57.7,113.2,207,152.5,150.3,149.7,100.7,200.2,170.9,239.9,116.5,124.5,79.3,78.2,105.9
"DAIMLER",2017,"EU","Germany","Automobiles & Parts",2,8663,15,5.3,164330,7.2,289321,2.4,6744,14.5,4.1,14631,15.2,8.9,19036,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"DAIMLER",2018,"EU","Germany","Automobiles & Parts",2,9041,4.36338450883067,5.40206259485427,167362,1.95426246085992,298683,3.23585221950706,7534,11.7141162514828,4.5016192445119,10873,-23.8425439518106,6.49669578518421,19036,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"DAIMLER",2019,"EU","Germany","Automobiles & Parts",2,9630,6.51476606570069,5.57469101855336,172745,3.21638125739414,298655,-0.00937448733272506,7199,-4.44650915848155,4.16741439694347,4680,-56.9576013979582,2.70919563518481,19036,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"GLAXOSMITHKLINE",2017,"EU","UK","Pharmaceuticals & Biotechnology",10,4351,14,12.8,34008,8.2,98462,-0.8,1740.6,0.1,5.1,4609,89,13.6,1525,"Leader",126.4,158.9,134.1,136.7,156.7,143,262.2,NA,67.2,126.7,207.7,78.9,125.8,132.8,98.1,328.6,210.3,250,94.3,100.5,66.4,145.8,141.4,93.3,112.5,162.9,197.4,85.2,101,39.1,89.5,83.7,140.1,145.2,175.1,39,83.9,132.9,115,270.7,86.7,143.3,117.5,117.8,125.3
