"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019"
"VOLKSWAGEN",2010,"EU","Germany","Automobiles & Parts",1,6258,8.08290155440414,4.93241379310345,126875,23.9037871833434,351907,3.96101613298709,8087,-36.6570063444819,10.0626600985222,7403,22.4890521260065,7.05576354679803,9336
"VOLKSWAGEN",2011,"EU","Germany","Automobiles & Parts",1,7203,15.1006711409396,4.52060726635998,159337,25.5858128078818,400070,13.6862864336316,8087,-36.6570063444819,5.07540621450134,10930,22.0956210902592,6.85967477735868,9336
"VOLKSWAGEN",2012,"EU","Germany","Automobiles & Parts",1,9515,32.1,4.9,193000,21.4,525245,31.3,10493,29.8,5.4,8333,-4.8,4.3,9336
"VOLKSWAGEN",2013,"EU","Germany","Automobiles & Parts",1,11743,23.4156594850236,5.96070190399326,197007,2.24781498474123,572800,9.05387009871583,11385,8.50090536548176,5.77898247270402,11500,-8.17630150111786,5.83735603303436,9336
"VOLKSWAGEN",2014,"EU","Germany","Automobiles & Parts",1,13120,11.7261347185557,6.48035641960308,202458,2.76690675965829,592586,3.45425977653631,12012,5.50724637681159,5.93308241709392,12139,5.55652173913044,5.99581147694831,9336
"VOLKSWAGEN",2015,"EU","Germany","Automobiles & Parts",1,13612,3.75000000000001,6.38186148566285,213292,5.35123334222407,610076,2.95147033510748,13213,9.998334998335,6.19479399133582,-1228,-110.116154543208,-0.57573654895636,9336
"VOLKSWAGEN",2016,"EU","Germany","Automobiles & Parts",1,13672,0.440787540405529,6.29271817625318,217267,1.86364233070158,626715,2.72736511516598,13152,-0.461666540528272,6.05338132344074,8344,-779.478827361564,3.84043596128266,9336
"VOLKSWAGEN",2017,"EU","Germany","Automobiles & Parts",1,13135,-3.9,5.7,230682,6.2,642300,2.5,13052,-0.8,5.7,13458,61.3,5.8,9336
"VOLKSWAGEN",2018,"EU","Germany","Automobiles & Parts",1,13640,3.84468976018273,5.78336138800673,235849,2.74406447397082,664500,3.4563288183092,13729,5.18694452957402,5.82109739706338,13982,4.01725933640826,5.92836942280866,9336
"VOLKSWAGEN",2019,"EU","Germany","Automobiles & Parts",1,14306,4.88269794721408,5.66278222869629,252632,7.11599370783849,671205,1.00902934537246,14230,3.64920970209046,5.63269894550176,15861,13.4387069088828,6.27830203616327,9336
"NOKIA",2010,"EU","Finland","Telecommunications Equipment",2,4938,-1.18070842505503,11.6336050511238,42446,3.56724575444076,129355,5.02066233123057,485,8.7104526198563,1.56669650850492,725.064905,-20.2115158636898,4.46449606558922,12780
"NOKIA",2011,"EU","Finland","Technology Hardware & Equipment",3,4910,-0.567031186715272,12.7007941229727,38659,-8.92192432738067,130050,0.537281125584621,597,-10.2255639097744,1.54427170904576,-1073,-156.622691292876,-2.77555032463333,12780
"NOKIA",2012,"EU","Finland","Technology Hardware & Equipment",7,4169,-15.091649694501,13.8156150583245,30176,-21.9431438992214,97798,-24.79969242599,461,-22.7805695142379,1.52770413573701,-2382,121.994408201305,-7.89369034994698,12780
"NOKIA",2013,"EU","Finland","Technology Hardware & Equipment",10,3456,-17.1024226433197,14.7415116874254,23444,-23.2652526839487,55244,-15.7184920743894,407,-11.7136659436009,1.73605186828186,62,-102.666666666667,0.264459989762839,12780
"NOKIA",2014,"EU","Finland","Technology Hardware & Equipment",13,2718,-21.3541666666667,17.8933508887426,15190,-35.2073025081044,61656,11.6066903193107,311,-23.5872235872236,2.04739960500329,-343,-534.177215189873,-2.25806451612903,12780
"NOKIA",2015,"EU","Finland","Technology Hardware & Equipment",16,2502,-7.94701986754967,18.4322970384559,13574,-10.6385780118499,55718,-9.63085506682237,314,0.964630225080376,2.31324591130102,1842,-637.026239067055,13.5700604096066,12780
"NOKIA",2016,"EU","Finland","Technology Hardware & Equipment",8,4904,96.0031974420464,20.7673414076395,23614,73.9649329600707,101000,81.2699666176101,477,51.9108280254777,2.01998814262726,-1051,-157.057546145494,-4.45074955534852,12780
"NOKIA",2017,"EU","Finland","Technology Hardware & Equipment",8,4916,0.2,21.2,23147,-2,103000,2,601,26,2.6,126,-112,0.5,12780
"NOKIA",2018,"EU","Finland","Technology Hardware & Equipment",10,4044,-5.5802007938361,17.9231485174844,22563,-2.523005141055,103083,0.080582524271855,672,11.8136439267887,2.97832735008642,7,-94.4444444444444,0.0310242432300669,12780
"NOKIA",2019,"EU","Finland","Technology Hardware & Equipment",10,4411,9.07517309594461,18.9191507613125,23315,3.33289012985862,98322,-4.61860830592823,690,2.67857142857142,2.95946815354922,575,8114.28571428571,2.46622346129101,12780
"DAIMLER",2010,"EU","Germany","Automobiles & Parts",3,4852,16.5225744476465,4.96312435429261,97761,23.8672647103543,258120,-0.196421114496492,13249,-3.44221988057605,15.7895275211997,7403,36.1,7.09894538721985,19036
"DAIMLER",2011,"EU","Germany","Automobiles & Parts",2,5629,16.0140148392415,5.28346161066266,106540,8.98006362455377,271370,5.13327134666046,4158,-73.0629696812646,3.90275952693824,8931,28.6887608069164,8.38276703585508,19036
"DAIMLER",2012,"EU","Germany","Automobiles & Parts",2,5639,0.177651447859306,4.94649122807018,114000,6.54205607476634,275087,1.36971662306076,4827,16.0894660894661,4.23421052631579,9103,1.92587616168403,7.98508771929825,19036
